"Ano,Mes,""Codigo SH4"",""Descrição SH4"",""Valor FOB (US$)"""
"2022,04,1201,""Soja, mesmo triturada"",6751373745"
"2022,05,1201,""Soja, mesmo triturada"",6609146557"
"2022,03,1201,""Soja, mesmo triturada"",6455678997"
"2022,06,1201,""Soja, mesmo triturada"",6299609154"
"2022,07,1201,""Soja, mesmo triturada"",4715060969"
"2022,08,1201,""Soja, mesmo triturada"",3796592022"
"2022,02,1201,""Soja, mesmo triturada"",3135292463"
"2022,01,1201,""Soja, mesmo triturada"",1240966573"
"2021,05,1201,""Soja, mesmo triturada"",6707871572"
"2021,04,1201,""Soja, mesmo triturada"",6665535984"
"2021,06,1201,""Soja, mesmo triturada"",5173983522"
"2021,03,1201,""Soja, mesmo triturada"",5045797648"
"2021,07,1201,""Soja, mesmo triturada"",3983584471"
"2021,08,1201,""Soja, mesmo triturada"",3144567474"
"2021,09,1201,""Soja, mesmo triturada"",2458493179"
"2021,10,1201,""Soja, mesmo triturada"",1719369047"
"2021,12,1201,""Soja, mesmo triturada"",1359004129"
"2021,11,1201,""Soja, mesmo triturada"",1321125517"
"2021,02,1201,""Soja, mesmo triturada"",1036131032"
"2021,01,1201,""Soja, mesmo triturada"",23267167"
"2020,04,1201,""Soja, mesmo triturada"",5030997690"
"2020,05,1201,""Soja, mesmo triturada"",4700002060"
"2020,06,1201,""Soja, mesmo triturada"",4295970050"
"2020,03,1201,""Soja, mesmo triturada"",3742530966"
"2020,07,1201,""Soja, mesmo triturada"",3458632060"
"2020,08,1201,""Soja, mesmo triturada"",2063686198"
"2020,02,1201,""Soja, mesmo triturada"",1692768740"
"2020,09,1201,""Soja, mesmo triturada"",1556970053"
"2020,10,1201,""Soja, mesmo triturada"",885443582"
"2020,11,1201,""Soja, mesmo triturada"",528666792"
"2020,01,1201,""Soja, mesmo triturada"",504798698"
"2020,12,1201,""Soja, mesmo triturada"",103680351"
"2019,05,1201,""Soja, mesmo triturada"",3403863079"
"2019,04,1201,""Soja, mesmo triturada"",3303997489"
"2019,03,1201,""Soja, mesmo triturada"",3021084017"
"2019,06,1201,""Soja, mesmo triturada"",2883859212"
"2019,07,1201,""Soja, mesmo triturada"",2598549629"
"2019,02,1201,""Soja, mesmo triturada"",1874532678"
"2019,10,1201,""Soja, mesmo triturada"",1825879413"
"2019,11,1201,""Soja, mesmo triturada"",1807969298"
"2019,08,1201,""Soja, mesmo triturada"",1764063287"
"2019,09,1201,""Soja, mesmo triturada"",1633718760"
"2019,12,1201,""Soja, mesmo triturada"",1190964452"
"2019,01,1201,""Soja, mesmo triturada"",768708881"
"2018,05,1201,""Soja, mesmo triturada"",4998529250"
"2018,06,1201,""Soja, mesmo triturada"",4199194498"
"2018,04,1201,""Soja, mesmo triturada"",4112601510"
"2018,07,1201,""Soja, mesmo triturada"",4078914129"
"2018,03,1201,""Soja, mesmo triturada"",3434666892"
"2018,08,1201,""Soja, mesmo triturada"",3209663475"
"2018,10,1201,""Soja, mesmo triturada"",2048367808"
"2018,11,1201,""Soja, mesmo triturada"",1898533438"
"2018,09,1201,""Soja, mesmo triturada"",1814546296"
"2018,12,1201,""Soja, mesmo triturada"",1572493222"
"2018,02,1201,""Soja, mesmo triturada"",1093260308"
"2018,01,1201,""Soja, mesmo triturada"",594256424"
"2017,05,1201,""Soja, mesmo triturada"",4063422621"
"2017,04,1201,""Soja, mesmo triturada"",3948237434"
"2017,03,1201,""Soja, mesmo triturada"",3534057617"
"2017,06,1201,""Soja, mesmo triturada"",3353721793"
"2017,07,1201,""Soja, mesmo triturada"",2534393319"
"2017,08,1201,""Soja, mesmo triturada"",2236097286"
"2017,09,1201,""Soja, mesmo triturada"",1610496252"
"2017,02,1201,""Soja, mesmo triturada"",1404183305"
"2017,10,1201,""Soja, mesmo triturada"",939520529"
"2017,12,1201,""Soja, mesmo triturada"",913398157"
"2017,11,1201,""Soja, mesmo triturada"",815375845"
"2017,01,1201,""Soja, mesmo triturada"",364832837"
"2016,05,1201,""Soja, mesmo triturada"",3600309132"
"2016,04,1201,""Soja, mesmo triturada"",3532371105"
"2016,06,1201,""Soja, mesmo triturada"",2971369089"
"2016,03,1201,""Soja, mesmo triturada"",2924902326"
"2016,07,1201,""Soja, mesmo triturada"",2424555157"
"2016,08,1201,""Soja, mesmo triturada"",1590492888"
"2016,02,1201,""Soja, mesmo triturada"",715347987"
"2016,09,1201,""Soja, mesmo triturada"",606519905"
"2016,10,1201,""Soja, mesmo triturada"",413785766"
"2016,12,1201,""Soja, mesmo triturada"",273121796"
"2016,01,1201,""Soja, mesmo triturada"",147635092"
"2016,11,1201,""Soja, mesmo triturada"",130913191"
"2015,06,1201,""Soja, mesmo triturada"",3762210842"
"2015,05,1201,""Soja, mesmo triturada"",3612716728"
"2015,07,1201,""Soja, mesmo triturada"",3224052598"
"2015,04,1201,""Soja, mesmo triturada"",2534258174"
"2015,03,1201,""Soja, mesmo triturada"",2211790279"
"2015,08,1201,""Soja, mesmo triturada"",2004886432"
"2015,09,1201,""Soja, mesmo triturada"",1429975247"
"2015,10,1201,""Soja, mesmo triturada"",989567116"
"2015,11,1201,""Soja, mesmo triturada"",551133264"
"2015,02,1201,""Soja, mesmo triturada"",346160419"
"2015,12,1201,""Soja, mesmo triturada"",281720842"
"2015,01,1201,""Soja, mesmo triturada"",35102725"
