VALORES CORRENTES;;;;;;;;;;;;;;;;;;;;;;;
(1.000.000 R$);;;;;;;;;;;;;;;;;;;;;;;
Período;AGROPECUÁRIA;INDÚSTRIA;;;;;SERVIÇOS;;;;;;;;VA;Imposto;PIB;Consumo das Famílias;Consumo do Governo;Formação Bruta de Capital Fixo;Variação de Estoques;Exportação;Importação
;Total;Indústrias extrativas;Indústrias de transformação;Eletricidade e gás, água, esgoto, ativ. de gestão de resíduos;Construção;Total;Comércio;Transporte, armazenagem e correio;Informação e comunicação ;Atividades financeiras, de seguros e serviços relacionados;Atividades Imobiliárias;Outras atividades de serviços;Adm., defesa, saúde e educação públicas e seguridade social;Total;;;;;;;;;
1995;35.382;4.411;102.667;14.939;43.054;165.071;55.714;20.764;14.832;64.392;60.202;92.518;101.910;410.332;610.785;95.206;705.992;449.762;147.749;143.220;-21.137;53.153;66.756
1996.I;10.054;1.763;23.306;4.432;11.972;41.474;12.755;4.018;4.017;16.074;21.647;27.237;27.088;112.836;164.363;24.960;189.323;125.685;35.666;35.403;-4.964;12.306;14.773
1996.II;10.703;1.369;26.780;4.103;13.587;45.839;14.359;4.762;5.864;15.277;23.734;28.920;28.775;121.690;178.232;26.378;204.611;132.511;39.023;39.326;-3.355;14.576;17.470
1996.III;11.096;1.324;28.772;4.148;14.767;49.011;15.788;7.829;5.333;19.180;25.828;31.498;28.600;134.057;194.164;27.349;221.513;142.658;41.810;41.418;994;15.560;20.928
1996.IV;8.906;1.457;32.835;5.235;15.104;54.631;16.918;7.430;6.510;18.764;27.031;34.128;36.221;147.001;210.538;28.778;239.316;156.087;52.324;43.187;-4.417;15.085;22.949
1996;40.759;5.914;111.694;17.918;55.430;190.955;59.819;24.039;21.725;69.295;98.240;121.783;120.683;515.584;747.298;107.466;854.764;556.942;168.823;159.334;-11.742;57.527;76.120
1997.I;12.338;1.493;28.430;4.707;14.443;49.072;14.821;4.693;5.149;16.766;27.561;32.316;29.408;130.715;192.125;26.992;219.117;147.808;42.139;42.697;-7.355;13.162;19.333
1997.II;11.625;1.447;33.389;4.949;15.850;55.636;16.218;6.215;5.998;15.929;29.218;32.266;31.184;137.028;204.289;28.600;232.890;154.447;45.485;46.189;-8.063;17.402;22.570
1997.III;10.871;1.425;33.163;5.341;17.160;57.089;17.387;8.785;7.054;20.023;30.131;34.273;31.008;148.662;216.623;29.556;246.178;157.598;45.830;47.287;2.106;18.529;25.171
1997.IV;9.771;1.656;28.967;5.462;17.235;53.320;17.353;9.339;7.682;21.135;31.602;35.384;38.120;160.615;223.706;30.198;253.904;161.954;52.540;45.894;374;17.398;24.255
1997;44.606;6.020;123.949;20.460;64.687;215.116;65.780;29.031;25.883;73.854;118.512;134.239;129.721;577.020;836.743;115.346;952.089;621.806;185.993;182.067;-12.938;66.491;91.330
