Periodo,Setor,Total
1995,Agropecuria,35382
1995,Industria,165071
1995,Servicos,410332
1995,PIB,705992
1995,Exportacao,53153
1995,Importacao,66756
1996,Agropecuria,40759
1996,Industria,190955
1996,Servicos,515584
1996,PIB,854764
1996,Exportacao,57527
1996,Importacao,76120
1997,Agropecuria,44606
1997,Industria,215116
1997,Servicos,577020
1997,PIB,952089
1997,Exportacao,66491
1997,Importacao,91330
1998,Agropecuria,47612
1998,Industria,221708
1998,Servicos,612623
1998,PIB,1002351
1998,Exportacao,70470
1998,Importacao,94302
1999,Agropecuria,50535
1999,Industria,236541
1999,Servicos,654841
1999,PIB,1087710
1999,Exportacao,104038
1999,Importacao,124187
2000,Agropecuria,56962
2000,Industria,275871
2000,Servicos,698493
2000,PIB,1199092
2000,Exportacao,122164
2000,Importacao,149308
2001,Agropecuria,63170
2001,Industria,297881
2001,Servicos,759371
2001,PIB,1315755
2001,Exportacao,162781
2001,Importacao,191634
2002,Agropecuria,81515
2002,Industria,334908
2002,Servicos,853792
2002,PIB,1488787
2002,Exportacao,211863
2002,Importacao,199315
2003,Agropecuria,105949
2003,Industria,396569
2003,Servicos,968200
2003,PIB,1717950
2003,Exportacao,260798
2003,Importacao,222640
2004,Agropecuria,110913
2004,Industria,475863
2004,Servicos,1075206
2004,PIB,1957751
2004,Exportacao,323925
2004,Importacao,257102
2005,Agropecuria,100958
2005,Industria,524686
2005,Servicos,1217175
2005,PIB,2170585
2005,Exportacao,330880
2005,Importacao,257062
2006,Agropecuria,105294
2006,Industria,567281
2006,Servicos,1376715
2006,PIB,2409450
2006,Exportacao,346342
2006,Importacao,281120
2007,Agropecuria,120152
2007,Industria,629071
2007,Servicos,1570305
2007,PIB,2720263
2007,Exportacao,362548
2007,Importacao,325478
2008,Agropecuria,142051
2008,Industria,717907
2008,Servicos,1766519
2008,PIB,3109803
2008,Exportacao,420881
2008,Importacao,426776
2009,Agropecuria,149213
2009,Industria,729222
2009,Servicos,1971328
2009,PIB,3333039
2009,Exportacao,361680
2009,Importacao,375120
2010,Agropecuria,159932
2010,Industria,904158
2010,Servicos,2238750
2010,PIB,3885847
2010,Exportacao,422220
2010,Importacao,462672
2011,Agropecuria,190024
2011,Industria,1011034
2011,Servicos,2519403
2011,PIB,4376382
2011,Exportacao,506895
2011,Importacao,540566
2012,Agropecuria,200695
2012,Industria,1065682
2012,Servicos,2827882
2012,PIB,4814760
2012,Exportacao,571875
2012,Importacao,637317
2013,Agropecuria,240290
2013,Industria,1131626
2013,Servicos,3181844
2013,PIB,5331619
2013,Exportacao,626051
2013,Importacao,748758
2014,Agropecuria,249975
2014,Industria,1183094
2014,Servicos,3539665
2014,PIB,5778953
2014,Exportacao,636375
2014,Importacao,790183
2015,Agropecuria,258967
2015,Industria,1160787
2015,Servicos,3735847
2015,PIB,5995787
2015,Exportacao,773468
2015,Importacao,842614
2016,Agropecuria,306655
2016,Industria,1150720
2016,Servicos,3962447
2016,PIB,6269328
2016,Exportacao,781577
2016,Importacao,756520
2017,Agropecuria,302971
2017,Industria,1197800
2017,Servicos,4171155
2017,PIB,6585479
2017,Exportacao,824434
2017,Importacao,777137
2018,Agropecuria,309611
2018,Industria,1313210
2018,Servicos,4388329
2018,PIB,7004141
2018,Exportacao,1025056
2018,Importacao,997474
2019,Agropecuria,310714
2019,Industria,1385804
2019,Servicos,4660166
2019,PIB,7389131
2019,Exportacao,1043561
2019,Importacao,1091178
2020,Agropecuria,440085
2020,Industria,1321892
2020,Servicos,4689305
2020,PIB,7467616
2020,Exportacao,1254191
2020,Importacao,1201942
2021,Agropecuria,598128
2021,Industria,1636789
2021,Servicos,5153993
2021,PIB,8679490
2021,Exportacao,1744341
2021,Importacao,1655947
