Ano,Descricao,Total,Quilograma
jan/97,Cafe,166909577,77137926
fev/97,Cafe,190196420,72680967
mar/97,Cafe,196266149,60660704
abr/97,Cafe,197784527,64126089
mai/97,Cafe,212289175,61885284
jun/97,Cafe,215264319,59816091
jul/97,Cafe,245963500,73540565
ago/97,Cafe,247920713,75705931
set/97,Cafe,260769543,80239066
out/97,Cafe,263011850,83366965
nov/97,Cafe,264648875,76006025
dez/97,Cafe,284880764,83292979
jan/98,Cafe,148760235,55569585
fev/98,Cafe,154142984,48681417
mar/98,Cafe,160643202,47415655
abr/98,Cafe,168507943,48603840
mai/98,Cafe,189081028,79693258
jun/98,Cafe,189368139,98090684
jul/98,Cafe,198046873,55613993
ago/98,Cafe,214495492,108535643
set/98,Cafe,220626423,116824055
out/98,Cafe,222021614,105384977
nov/98,Cafe,231318761,112454699
dez/98,Cafe,237253790,119096826
jan/99,Cafe,155814339,88265874
fev/99,Cafe,166494747,109192921
mar/99,Cafe,166732870,90621083
abr/99,Cafe,169678282,85108877
mai/99,Cafe,173857471,99058200
jun/99,Cafe,177559420,113583258
jul/99,Cafe,186519978,97307524
ago/99,Cafe,186588902,113113086
set/99,Cafe,193417109,106748189
out/99,Cafe,199313190,118411439
nov/99,Cafe,213109010,115903617
dez/99,Cafe,239164026,132289382
jan/00,Cafe,91382131,57864821
fev/00,Cafe,100336119,76781612
mar/00,Cafe,117014219,75073561
abr/00,Cafe,118263733,67411695
mai/00,Cafe,127370617,69866500
jun/00,Cafe,128741572,87839202
jul/00,Cafe,137490842,97514349
ago/00,Cafe,141109073,69207137
set/00,Cafe,146694623,86050226
out/00,Cafe,148655773,96140996
nov/00,Cafe,148887098,103610296
dez/00,Cafe,155685300,80074447
jan/01,Cafe,79907503,97672930
fev/01,Cafe,83746369,69659414
mar/01,Cafe,90751795,77473991
abr/01,Cafe,90955629,94476525
mai/01,Cafe,100035850,118518613
jun/01,Cafe,100219590,90128845
jul/01,Cafe,102938576,98447361
ago/01,Cafe,103247297,87462932
set/01,Cafe,108874074,95909183
out/01,Cafe,111485062,141978991
nov/01,Cafe,111578178,137382437
dez/01,Cafe,128580044,146629567
jan/02,Cafe,55501770,66550422
fev/02,Cafe,71296639,96208546
mar/02,Cafe,72208962,94457189
abr/02,Cafe,72332638,93627165
mai/02,Cafe,73313686,95601384
jun/02,Cafe,91043552,114815019
jul/02,Cafe,113068574,152698492
ago/02,Cafe,119413246,170905980
set/02,Cafe,124724369,141863373
out/02,Cafe,132204019,182113793
nov/02,Cafe,135469437,175622471
dez/02,Cafe,140465321,171596111
jan/03,Cafe,82708838,91410130
fev/03,Cafe,84196728,92513182
mar/03,Cafe,92020265,102590448
abr/03,Cafe,94549996,107357046
mai/03,Cafe,95305699,98831123
jun/03,Cafe,99745271,108077089
jul/03,Cafe,106362688,119171006
ago/03,Cafe,122088210,113279031
set/03,Cafe,127644594,123046705
out/03,Cafe,129979182,142197109
nov/03,Cafe,139228429,139672172
dez/03,Cafe,140963756,135613530
jan/04,Cafe,102248345,95559503
fev/04,Cafe,116715328,94753984
mar/04,Cafe,122181071,108082365
abr/04,Cafe,127629971,101206705
mai/04,Cafe,129892820,104734285
jun/04,Cafe,131913393,106227331
jul/04,Cafe,142163725,117542151
ago/04,Cafe,154868513,126925006
set/04,Cafe,159912723,132604405
out/04,Cafe,183275811,142061886
nov/04,Cafe,192400009,146533567
dez/04,Cafe,193906438,135991880
jan/05,Cafe,176193310,114107000
fev/05,Cafe,178974595,93208886
mar/05,Cafe,188584214,98391942
abr/05,Cafe,192339915,117357698
mai/05,Cafe,204210112,109174133
jun/05,Cafe,210799516,107275515
jul/05,Cafe,213160445,109094686
ago/05,Cafe,221724120,116332327
set/05,Cafe,221760131,117138938
out/05,Cafe,233257580,116713472
nov/05,Cafe,243785475,129507587
dez/05,Cafe,248180783,127703531
jan/06,Cafe,194381415,100814389
fev/06,Cafe,194738326,101220050
mar/06,Cafe,198579198,97592415
abr/06,Cafe,201418704,107672347
mai/06,Cafe,213171508,105940990
jun/06,Cafe,220060400,108682505
jul/06,Cafe,222280363,107564639
ago/06,Cafe,282485782,147643642
set/06,Cafe,284789467,143528465
out/06,Cafe,287773871,132535317
nov/06,Cafe,311071765,157459264
dez/06,Cafe,341978544,170197622
jan/07,Cafe,241757164,111343257
fev/07,Cafe,243428952,112271913
mar/07,Cafe,256801132,119514440
abr/07,Cafe,258628983,117054834
mai/07,Cafe,272636613,121419599
jun/07,Cafe,273692155,119800366
jul/07,Cafe,278016493,124948085
ago/07,Cafe,282104796,125312803
set/07,Cafe,291641035,129935082
out/07,Cafe,302670034,120705351
nov/07,Cafe,346184286,141775451
dez/07,Cafe,355614503,148816716
jan/08,Cafe,270436871,100640899
fev/08,Cafe,273201400,100146097
mar/08,Cafe,282122937,105424553
abr/08,Cafe,286700425,114185729
mai/08,Cafe,322455916,122190149
jun/08,Cafe,328587726,118245682
jul/08,Cafe,328863485,120553966
ago/08,Cafe,330624343,121747495
set/08,Cafe,395226141,163901054
out/08,Cafe,431973174,171472166
nov/08,Cafe,441403388,159548250
dez/08,Cafe,475489531,178451198
jan/09,Cafe,261484697,122358744
fev/09,Cafe,263781788,116852365
mar/09,Cafe,281088397,125426873
abr/09,Cafe,295847603,139335836
mai/09,Cafe,301397627,138937959
jun/09,Cafe,303513459,137428497
jul/09,Cafe,315817824,141130153
ago/09,Cafe,338451181,143946665
set/09,Cafe,351278349,144162084
out/09,Cafe,352500491,146707010
nov/09,Cafe,361596244,141688205
dez/09,Cafe,363732950,146486907
jan/10,Cafe,292831664,115623436
fev/10,Cafe,322342046,124980124
mar/10,Cafe,323691844,125139395
abr/10,Cafe,326243146,125214069
mai/10,Cafe,348204825,132220558
jun/10,Cafe,361589202,132722133
jul/10,Cafe,388014120,149718999
ago/10,Cafe,485138298,168792449
set/10,Cafe,540890713,177264941
out/10,Cafe,588213323,185038207
nov/10,Cafe,590723991,177194692
dez/10,Cafe,633402779,180400324
jan/11,Cafe,489329069,109023792
fev/11,Cafe,564534322,155535361
mar/11,Cafe,581678834,149109337
abr/11,Cafe,593730916,132429185
mai/11,Cafe,605443392,138596395
jun/11,Cafe,643255598,151866082
jul/11,Cafe,661242147,144242876
ago/11,Cafe,724986876,155792092
set/11,Cafe,747930900,158137166
out/11,Cafe,779218542,160212796
nov/11,Cafe,804926171,167177261
dez/11,Cafe,828676993,172347168
jan/12,Cafe,366749946,101242772
fev/12,Cafe,378347721,109566414
mar/12,Cafe,413106044,118300652
abr/12,Cafe,428482261,108998729
mai/12,Cafe,437539218,105526914
jun/12,Cafe,467087071,137075958
jul/12,Cafe,512901219,120052832
ago/12,Cafe,529570653,150340440
set/12,Cafe,532835056,119461451
out/12,Cafe,539554652,157466650
nov/12,Cafe,560267092,117247640
dez/12,Cafe,572226340,160312561
jan/13,Cafe,295560904,115487378
fev/13,Cafe,340700035,125212120
mar/13,Cafe,348241811,151604449
abr/13,Cafe,358129830,147713149
mai/13,Cafe,358646931,144013316
jun/13,Cafe,363515969,113948427
jul/13,Cafe,378089020,162594327
ago/13,Cafe,398748755,137992262
set/13,Cafe,424810763,137938194
out/13,Cafe,425879606,174865520
nov/13,Cafe,434511238,147667746
dez/13,Cafe,469045840,141137187
jan/14,Cafe,339829200,152790655
fev/14,Cafe,363084152,156289072
mar/14,Cafe,410142032,153479140
abr/14,Cafe,500412018,157527013
mai/14,Cafe,501313775,171843532
jun/14,Cafe,504287913,161645176
jul/14,Cafe,511635286,161522444
ago/14,Cafe,522637923,166300406
set/14,Cafe,556245970,165961995
out/14,Cafe,573776041,171949000
nov/14,Cafe,623305167,182693449
dez/14,Cafe,645263024,185862057
jan/15,Cafe,393588551,143183269
fev/15,Cafe,406894236,150133217
mar/15,Cafe,424885916,160292406
abr/15,Cafe,435340038,157947523
mai/15,Cafe,450696173,178736390
jun/15,Cafe,457773314,175268861
jul/15,Cafe,461776768,187048495
ago/15,Cafe,469455357,168994170
set/15,Cafe,494410196,150950897
out/15,Cafe,502724908,198614077
nov/15,Cafe,520853992,171821385
dez/15,Cafe,546590594,163531275
jan/16,Cafe,272278700,104392354
fev/16,Cafe,304468687,124082720
mar/16,Cafe,315103876,130159187
abr/16,Cafe,326513518,134095360
mai/16,Cafe,363995453,149220611
jun/16,Cafe,397886180,160235194
jul/16,Cafe,406546782,166628182
ago/16,Cafe,423186841,157659136
set/16,Cafe,459622339,165489648
out/16,Cafe,513528677,178658786
nov/16,Cafe,535637211,175175880
dez/16,Cafe,536859379,180161201
jan/17,Cafe,255529664,96111236
fev/17,Cafe,310549505,114470086
mar/17,Cafe,330701755,115852839
abr/17,Cafe,360600849,130764327
mai/17,Cafe,385773452,142668873
jun/17,Cafe,387674638,137935346
jul/17,Cafe,408380469,138644195
ago/17,Cafe,420271894,155001377
set/17,Cafe,432851654,147912715
out/17,Cafe,436433415,149586372
nov/17,Cafe,441424393,158751688
dez/17,Cafe,443296821,161893868
jan/18,Cafe,182804898,74738421
fev/18,Cafe,214755798,84921361
mar/18,Cafe,297123238,117118484
abr/18,Cafe,311144891,129563328
mai/18,Cafe,321371627,135665465
jun/18,Cafe,354321840,136293961
jul/18,Cafe,362635725,136382448
ago/18,Cafe,403357413,179840378
set/18,Cafe,418830377,157211022
out/18,Cafe,434354216,196827338
nov/18,Cafe,517084495,234076345
dez/18,Cafe,553949037,246239183
jan/19,Cafe,321777129,169647462
fev/19,Cafe,339237443,175310749
mar/19,Cafe,340212770,165944446
abr/19,Cafe,374622459,189040581
mai/19,Cafe,384157117,187535606
jun/19,Cafe,389753469,197111259
jul/19,Cafe,397867544,199630527
ago/19,Cafe,399254093,190010799
set/19,Cafe,407607723,185824746
out/19,Cafe,408101053,197925405
nov/19,Cafe,409113262,182199157
dez/19,Cafe,413144690,192632872
jan/20,Cafe,282782759,141928527
fev/20,Cafe,325705087,168518037
mar/20,Cafe,358797368,163529898
abr/20,Cafe,366811067,165310188
mai/20,Cafe,372577286,191583371
jun/20,Cafe,381421716,168794805
jul/20,Cafe,411337985,182837692
ago/20,Cafe,436909844,221735480
set/20,Cafe,468350786,226940293
out/20,Cafe,468927660,215994004
nov/20,Cafe,541931284,255090763
dez/20,Cafe,580752294,276805981
jan/21,Cafe,337343193,143375822
fev/21,Cafe,411036550,174913536
mar/21,Cafe,415947832,191824462
abr/21,Cafe,431538124,172925964
mai/21,Cafe,435283835,190664508
jun/21,Cafe,466708485,207542007
jul/21,Cafe,468433182,222419198
ago/21,Cafe,472624459,169985416
set/21,Cafe,538153838,242152677
out/21,Cafe,560524850,189152349
nov/21,Cafe,572873698,175394234
dez/21,Cafe,722788560,207986161
jan/22,Cafe,558723989,140080682
fev/22,Cafe,587515292,142704327
mar/22,Cafe,592466190,147110497
abr/22,Cafe,661164662,178313483
mai/22,Cafe,683001066,166102479
jun/22,Cafe,724965609,181206315
jul/22,Cafe,825999043,203360186
