Ano,Descricao,Total,Quantidade
jan/97,Suco_de_laranja,108916085,121489
jan/97,Soja,4118740,14030000
jan/97,Cafe,166909577,77137926
fev/97,Suco_de_laranja,83427076,88974
fev/97,Soja,4896148,17095000
fev/97,Cafe,190196420,72680967
mar/97,Suco_de_laranja,51125113,61726
mar/97,Soja,156200973,550157554
mar/97,Cafe,263011850,83366965
abr/97,Suco_de_laranja,67146924,78985
abr/97,Soja,462887400,1598886449
abr/97,Cafe,284880764,83292979
mai/97,Suco_de_laranja,49062107,58387
mai/97,Soja,504098587,1697312680
mai/97,Cafe,264648875,76006025
jun/97,Suco_de_laranja,71021539,87007
jun/97,Soja,395752981,1345808797
jun/97,Cafe,215264319,59816091
jul/97,Suco_de_laranja,90704770,113509
jul/97,Soja,494893812,1670251481
jul/97,Cafe,212289175,61885284
ago/97,Suco_de_laranja,107756297,130138
ago/97,Soja,291057057,986597810
ago/97,Cafe,245963500,73540565
set/97,Suco_de_laranja,74761571,89069
set/97,Soja,104112390,348746010
set/97,Cafe,247920713,75705931
out/97,Suco_de_laranja,119652610,146092
out/97,Soja,32397210,105540943
out/97,Cafe,260769543,80239066
nov/97,Suco_de_laranja,73205402,89142
nov/97,Soja,1893282,4899180
nov/97,Cafe,197784527,64126089
dez/97,Suco_de_laranja,106119056,127681
dez/97,Soja,118429,264120
dez/97,Cafe,196266149,60660704
jan/98,Suco_de_laranja,76146480,88651
jan/98,Soja,681933,1624160
jan/98,Cafe,160643202,47415655
fev/98,Suco_de_laranja,95754413,109058
fev/98,Soja,5371772,21248400
fev/98,Cafe,198046873,55613993
mar/98,Suco_de_laranja,87967805,95746
mar/98,Soja,98925349,399346036
mar/98,Cafe,168507943,48603840
abr/98,Suco_de_laranja,99344379,107193
abr/98,Soja,444498412,1859816767
abr/98,Cafe,154142984,48681417
mai/98,Suco_de_laranja,61229936,64523
mai/98,Soja,446609880,1894612707
mai/98,Cafe,148760235,55569585
jun/98,Suco_de_laranja,130009588,128690
jun/98,Soja,345529153,1468338152
jun/98,Cafe,189081028,79693258
jul/98,Suco_de_laranja,102584461,100504
jul/98,Soja,270324268,1160333462
jul/98,Cafe,222021614,105384977
ago/98,Suco_de_laranja,133229899,125935
ago/98,Soja,201119257,881387828
ago/98,Cafe,231318761,112454699
set/98,Suco_de_laranja,109784667,100779
set/98,Soja,220252674,962469185
set/98,Cafe,237253790,119096826
out/98,Suco_de_laranja,109449203,97022
out/98,Soja,93218734,409859085
out/98,Cafe,220626423,116824055
nov/98,Suco_de_laranja,98780868,83419
nov/98,Soja,38660803,166280691
nov/98,Cafe,189368139,98090684
dez/98,Suco_de_laranja,157378273,126523
dez/98,Soja,13282433,62391820
dez/98,Cafe,214495492,108535643
jan/99,Suco_de_laranja,81682321,71737
jan/99,Soja,9115549,39262486
jan/99,Cafe,169678282,85108877
fev/99,Suco_de_laranja,76495783,70829
fev/99,Soja,28385880,142741740
fev/99,Cafe,213109010,115903617
mar/99,Suco_de_laranja,87964526,78759
mar/99,Soja,95905889,523877889
mar/99,Cafe,239164026,132289382
abr/99,Suco_de_laranja,106528709,94663
abr/99,Soja,284783936,1568170612
abr/99,Cafe,193417109,106748189
mai/99,Suco_de_laranja,90549622,88844
mai/99,Soja,335185885,1860894337
mai/99,Cafe,173857471,99058200
