OBS,GDP,PR,M1,RS
1/1/1952,87.875,0.1975607,126.537,1.64
4/1/1952,88.125,0.1981673,127.506,1.677667
7/1/1952,89.625,0.2001787,129.385,1.828667
10/1/1952,92.875,0.2012459,128.512,1.923667
1/1/1953,94.625,0.2010517,130.587,2.047333
4/1/1953,95.55,0.2014442,130.341,2.202667
7/1/1953,95.425,0.2022359,131.389,2.021667
10/1/1953,94.175,0.2027231,129.891,1.486333
1/1/1954,94.075,0.2034164,130.173,1.083667
4/1/1954,94.2,0.203841,131.385,0.8143333
7/1/1954,95.45,0.2042913,134.627,0.8696667
10/1/1954,97.36375,0.204374,134.252,1.036333
1/1/1955,100.725,0.2056032,136.413,1.256333
4/1/1955,102.825,0.2062274,136.471,1.614333
7/1/1955,104.925,0.207762,138.377,1.861333
10/1/1955,106.6,0.2099975,137.244,2.349333
1/1/1956,107.275,0.2120478,138.053,2.379333
4/1/1956,108.675,0.2133287,138.375,2.596667
7/1/1956,109.875,0.2161404,138.993,2.596667
10/1/1956,112.125,0.2170651,139.087,3.063667
1/1/1957,114.3,0.2200722,139.541,3.171667
4/1/1957,114.725,0.2214875,139.525,3.157
7/1/1957,116.55,0.2226361,139.928,3.382333
10/1/1957,115.425,0.2229573,138.418,3.343333
1/1/1958,113.475,0.2255292,139.633,1.838
4/1/1958,114.6,0.2264039,139.655,1.017667
7/1/1958,118.0167,0.2277986,143.171,1.710667
10/1/1958,121.275,0.228756,144.112,2.787667
1/1/1959,124.075,0.2292379,145.86,2.800333
4/1/1959,127.325,0.2290739,146.14,3.019333
7/1/1959,127.4,0.2294049,147.396,3.533
10/1/1959,128.425,0.2302555,145.483,4.299333
1/1/1960,131.825,0.2313531,145.699,3.943
4/1/1960,131.525,0.2322225,145.599,3.092333
7/1/1960,132.225,0.2331702,147.525,2.390333
10/1/1960,130.975,0.2340302,146.527,2.360667
1/1/1961,132.025,0.2345339,149.319,2.376667
4/1/1961,134.725,0.2351222,149.736,2.324667
7/1/1961,137.375,0.235574,152.237,2.324667
10/1/1961,140.625,0.2362453,152.525,2.475
1/1/1962,143.825,0.2374721,153.274,2.739
4/1/1962,145.65,0.2379902,153.532,2.716
7/1/1962,147.475,0.2386423,154.727,2.858
10/1/1962,148.2,0.2393508,156.595,2.803333
