Ano,UF do Municipio,Quilograma Liquido
2021,AC,46168885
2021,Al,748770764
2021,AP,1187773361
2021,AM,478627197
2021,BA,13332308744
2021,CE,3402867326
2021,DF,61355100
2021,ES,26738513937
2021,Exterior,7979
2021,GO,11058385113
2021,MA,13034731419
2021,MT,44910464098
2021,MS,11004909352
2021,MG,1,35361E+11
2021,PA,1,93056E+11
2021,PB,406974821
2021,PR,32492699514
2021,PE,3121877594
2021,PI,1470427041
2021,RJ,1,04354E+11
2021,RN,967203254
2021,RS,26464386236
2021,RO,1942226794
2021,RR,386208325
2021,SC,10927535585
2021,SP,59620182012
2021,SE,111467601
2021,TO,3700459942
2020,AC,55251307
2020,Al,907555647
2020,AP,658974882
2020,AM,474188576
2020,BA,14376001354
2020,CE,3618436725
2020,DF,74255182
2020,ES,21343686721
2020,GO,14076421848
2020,MA,13111106415
2020,MT,49496919769
2020,MS,12165646428
2020,MG,1,1988E+11
2020,PA,1,99681E+11
2020,PB,128414302
2020,PR,35476865517
2020,PE,4090855962
2020,PI,1381977196
2020,RJ,1,00762E+11
2020,RN,1788431585
2020,RS,21496742256
2020,RO,1690326992
2020,RR,227117323
2020,SC,11792639205
2020,SP,65247736577
2020,SE,29475041
2020,TO,3414646457
2019,AC,67009314
2019,Al,706690196
2019,AP,527052309
2019,AM,384740528
2019,BA,10396705998
2019,CE,3385629487
2019,DF,81174571
2019,ES,30748282716
2019,GO,12355569880
2019,MA,12054307843
2019,MT,50077611204
2019,MS,11622317832
2019,MG,1,15952E+11
2019,PA,1,97672E+11
2019,PB,113350774
2019,PR,33667345645
2019,PE,3163607673
2019,PI,1120484253
2019,RJ,99899916871
2019,RN,1148660287
2019,RS,24773211702
2019,RO,1562678281
2019,RR,119566121
2019,SC,11065093979
2019,SP,52597809454
2019,SE,41349380
2019,TO,2803988817
2018,AC,78513571
2018,Al,721281846
2018,AP,738013029
2018,AM,111058431
2018,BA,9693446023
2018,CE,3246961679
2018,DF,90910261
2018,ES,41473179783
2018,Exterior,19894
2018,GO,6707248431
2018,MA,6989369408
2018,MT,28164398401
2018,MS,10552863463
2018,MG,1,49744E+11
2018,Não Declarada,7010
2018,PA,2,09894E+11
2018,PB,167508589
2018,PR,25135522955
2018,PE,3238370477
2018,PI,639306166
2018,RJ,85984802720
2018,RN,968701075
2018,RS,22908936321
2018,RO,1172166390
2018,RR,34412412
2018,SC,20603258431
2018,SP,74842420061
2018,SE,43318083
2018,TO,1606599323
2017,AC,32130101
2017,Al,987256455
2017,AP,723709362
2017,AM,173732630
2017,BA,11169515747
