Ano ,UF do Municipio ,Valor FOB (US$) ,Quilograma Liquido
2021 ,AC ,42857409 ,46168885
2021 ,Al ,280207547 ,748770764
2021 ,AP ,272176183 ,1187773361
2021 ,AM ,980101168 ,478627197
2021 ,BA ,9496277741 ,13332308744
2021 ,CE ,2838417092 ,3402867326
2021 ,DF ,117286836 ,61355100
2021 ,ES ,9719986226 ,26738513937
2021 ,Exterior ,1349450 ,7979
2021 ,GO ,8011859791 ,11058385113
2021 ,MA ,4507274188 ,13034731419
2021 ,MT ,20242007740 ,44910464098
2021 ,MS ,4687109331 ,11004909352
2021 ,MG ,34573433223 ,1,35361E+11
2021 ,PA ,29353235439 ,1,93056E+11
2021 ,PB ,184492144 ,406974821
2021 ,PR ,21176647686 ,32492699514
2021 ,PE ,2423577642 ,3121877594
2021 ,PI ,686341325 ,1470427041
2021 ,RJ ,37243334086 ,1,04354E+11
2021 ,RN ,307571058 ,967203254
2021 ,RS ,19610446709 ,26464386236
2021 ,RO ,1565839662 ,1942226794
2021 ,RR ,366331289 ,386208325
2021 ,SC ,12801166514 ,10927535585
2021 ,SP ,57419343322 ,59620182012
2021 ,SE ,100917283 ,111467601
2021 ,TO ,1804989376 ,3700459942
2020 ,AC ,29699528 ,55251307
2020 ,Al ,303798554 ,907555647
2020 ,AP ,300614716 ,658974882
2020 ,AM ,774071032 ,474188576
2020 ,BA ,7663754447 ,14376001354
2020 ,CE ,1849021818 ,3618436725
2020 ,DF ,89273814 ,74255182
2020 ,ES ,5035040484 ,21343686721
2020 ,GO ,7362507102 ,14076421848
2020 ,MA ,3434451641 ,13111106415
2020 ,MT ,16664592739 ,49496919769
2020 ,MS ,4400115798 ,12165646428
2020 ,MG ,24057822539 ,1,1988E+11
2020 ,PA ,20235721095 ,1,99681E+11
2020 ,PB ,111540332 ,128414302
2020 ,PR ,17663968503 ,35476865517
2020 ,PE ,1932109856 ,4090855962
2020 ,PI ,483071009 ,1381977196
2020 ,RJ ,23647291410 ,1,00762E+11
2020 ,RN ,280267613 ,1788431585
2020 ,RS ,13250231890 ,21496742256
2020 ,RO ,1347184693 ,1690326992
2020 ,RR ,179959363 ,227117323
2020 ,SC ,10005131914 ,11792639205
2020 ,SP ,46702064938 ,65247736577
2020 ,SE ,45728587 ,29475041
2020 ,TO ,1331206240 ,3414646457
2019 ,AC ,31663834 ,67009314
2019 ,Al ,229533140 ,706690196
2019 ,AP ,253264981 ,527052309
2019 ,AM ,750483968 ,384740528
2019 ,BA ,7657606180 ,10396705998
2019 ,CE ,2264517725 ,3385629487
2019 ,DF ,93781729 ,81174571
2019 ,ES ,6996459498 ,30748282716
2019 ,GO ,6501713164 ,12355569880
2019 ,MA ,3641918849 ,12054307843
2019 ,MT ,15924233473 ,50077611204
2019 ,MS ,4162147037 ,11622317832
2019 ,MG ,23238872202 ,1,15952E+11
2019 ,PA ,17607675292 ,1,97672E+11
2019 ,PB ,123055064 ,113350774
2019 ,PR ,18196250551 ,33667345645
2019 ,PE ,2177343969 ,3163607673
2019 ,PI ,423915532 ,1120484253
2019 ,RJ ,29783837249 ,99899916871
2019 ,RN ,369331592 ,1148660287
2019 ,RS ,16532220817 ,24773211702
2019 ,RO ,1173912317 ,1562678281
2019 ,RR ,82849357 ,119566121
2019 ,SC ,10271978906 ,11065093979
2019 ,SP ,51515633721 ,52597809454
2019 ,SE ,54083632 ,41349380
2019 ,TO ,1068523868 ,2803988817
2018 ,AC ,45307049 ,78513571
2018 ,Al ,420171027 ,721281846
2018 ,AP ,283590949 ,738013029
