Ano,Descricao,Total,Quilograma
jan/97,Suco_de_laranja,108916085,121489
fev/97,Suco_de_laranja,83427076,88974
mar/97,Suco_de_laranja,51125113,61726
abr/97,Suco_de_laranja,67146924,78985
mai/97,Suco_de_laranja,49062107,58387
jun/97,Suco_de_laranja,71021539,87007
jul/97,Suco_de_laranja,90704770,113509
ago/97,Suco_de_laranja,107756297,130138
set/97,Suco_de_laranja,74761571,89069
out/97,Suco_de_laranja,119652610,146092
nov/97,Suco_de_laranja,73205402,89142
dez/97,Suco_de_laranja,106119056,127681
jan/98,Suco_de_laranja,76146480,88651
fev/98,Suco_de_laranja,95754413,109058
mar/98,Suco_de_laranja,87967805,95746
abr/98,Suco_de_laranja,99344379,107193
mai/98,Suco_de_laranja,61229936,64523
jun/98,Suco_de_laranja,130009588,128690
jul/98,Suco_de_laranja,102584461,100504
ago/98,Suco_de_laranja,133229899,125935
set/98,Suco_de_laranja,109784667,100779
out/98,Suco_de_laranja,109449203,97022
nov/98,Suco_de_laranja,98780868,83419
dez/98,Suco_de_laranja,157378273,126523
jan/99,Suco_de_laranja,81682321,71737
fev/99,Suco_de_laranja,76495783,70829
mar/99,Suco_de_laranja,87964526,78759
abr/99,Suco_de_laranja,106528709,94663
mai/99,Suco_de_laranja,90549622,88844
jun/99,Suco_de_laranja,113384683,101793
jul/99,Suco_de_laranja,104767287,103104
ago/99,Suco_de_laranja,108203025,104105
set/99,Suco_de_laranja,108387212,102909
out/99,Suco_de_laranja,105460378,1128718
nov/99,Suco_de_laranja,95424627,18258
dez/99,Suco_de_laranja,155302149,16340
jan/00,Suco_de_laranja,101900240,12893
fev/00,Suco_de_laranja,134138114,32544
mar/00,Suco_de_laranja,100922240,27783
abr/00,Suco_de_laranja,77608774,22279
mai/00,Suco_de_laranja,59147009,23589
jun/00,Suco_de_laranja,103801664,24969
jul/00,Suco_de_laranja,87184715,41046
ago/00,Suco_de_laranja,57636252,22607
set/00,Suco_de_laranja,87704757,112138
out/00,Suco_de_laranja,91936124,45880
nov/00,Suco_de_laranja,48172250,42918
dez/00,Suco_de_laranja,67972349,76654
jan/01,Suco_de_laranja,76621354,54479
fev/01,Suco_de_laranja,65314959,54872
mar/01,Suco_de_laranja,66121296,20038
abr/01,Suco_de_laranja,53695428,25240
mai/01,Suco_de_laranja,76775479,40027
jun/01,Suco_de_laranja,73522198,100618
jul/01,Suco_de_laranja,58759236,2198455
ago/01,Suco_de_laranja,67373300,52361
set/01,Suco_de_laranja,59253000,38897
out/01,Suco_de_laranja,75269493,36384
nov/01,Suco_de_laranja,81422503,284801
dez/01,Suco_de_laranja,58289659,260608
jan/02,Suco_de_laranja,68231436,581431
fev/02,Suco_de_laranja,66380898,3901104
mar/02,Suco_de_laranja,62662124,60024
abr/02,Suco_de_laranja,84405216,107754
mai/02,Suco_de_laranja,53594106,3102622
jun/02,Suco_de_laranja,56946468,66239
jul/02,Suco_de_laranja,55125117,42351
