Ano,Descricao,Total,Quilograma
ago/22,Soja,3796592022,6093031015
jul/22,Soja,4715060969,7506214315
jun/22,Soja,6299609154,9995845636
mai/22,Soja,6609146557,10640470615
abr/22,Soja,6751373745,11472577094
mar/22,Soja,6455678997,12190885298
fev/22,Soja,3135292463,6271920229
jan/22,Soja,1240966573,2452064476
dez/21,Soja,1359004129,2711640334
nov/21,Soja,1321125517,2587139385
out/21,Soja,1719369047,3292942271
set/21,Soja,2458493179,4827184528
ago/21,Soja,3144567474,6484176180
jul/21,Soja,3983584471,8669658341
jun/21,Soja,5173983522,11066523308
mai/21,Soja,6707871572,14966212564
abr/21,Soja,6665535984,16114936472
mar/21,Soja,5045797648,12693892075
fev/21,Soja,1036131032,2645992006
jan/21,Soja,23267167,49498900
dez/20,Soja,103680351,274082590
nov/20,Soja,528666792,1435661760
out/20,Soja,885443582,2422160779
set/20,Soja,1556970053,4260922212
ago/20,Soja,2063686198,5836621583
jul/20,Soja,3458632060,9955019150
jun/20,Soja,4295970050,12741608347
mai/20,Soja,4700002060,14108152631
abr/20,Soja,5030997690,14854934104
mar/20,Soja,3742530966,10853230037
fev/20,Soja,1692768740,4833982095
jan/20,Soja,504798698,1397048451
dez/19,Soja,1190964452,3269636946
nov/19,Soja,1807969298,4947359534
out/19,Soja,1825879413,5076260085
set/19,Soja,1633718760,4603720269
ago/19,Soja,1764063287,5004319704
jul/19,Soja,2598549629,7443440658
jun/19,Soja,2883859212,8552659616
mai/19,Soja,3403863079,10011988762
abr/19,Soja,3303997489,9403698000
mar/19,Soja,3021084017,8458687005
fev/19,Soja,1874532678,5267177989
jan/19,Soja,768708881,2034104088
dez/18,Soja,1572493222,4070947944
nov/18,Soja,1898533438,4817422851
out/18,Soja,2048367808,5218429181
set/18,Soja,1814546296,4560701117
ago/18,Soja,3209663475,8118328742
jul/18,Soja,4078914129,10198035957
jun/18,Soja,4199194498,10420130276
mai/18,Soja,4998529250,12353479438
abr/18,Soja,4112601510,10258699614
mar/18,Soja,3434666892,8813759773
fev/18,Soja,1093260308,2864252723
jan/18,Soja,594256424,1563589036
dez/17,Soja,913398157,2355636571
nov/17,Soja,815375845,2142729378
out/17,Soja,939520529,2486938126
set/17,Soja,1610496252,4272462928
ago/17,Soja,2236097286,5952411306
jul/17,Soja,2534393319,6954980437
jun/17,Soja,3353721793,9197020800
mai/17,Soja,4063422621,10959858431
abr/17,Soja,3948237434,10432129072
mar/17,Soja,3534057617,8979127442
fev/17,Soja,1404183305,3509447272
jan/17,Soja,364832837,911826949
dez/16,Soja,273121796,653098393
nov/16,Soja,130913191,316094305
out/16,Soja,413785766,998191535
set/16,Soja,606519905,1443401661
ago/16,Soja,1590492888,3816070571
jul/16,Soja,2424555157,5787202701
jun/16,Soja,2971369089,7761036427
mai/16,Soja,3600309132,9915098848
abr/16,Soja,3532371105,10085881032
mar/16,Soja,2924902326,8374549242
fev/16,Soja,715347987,2036818373
jan/16,Soja,147635092,394431597
dez/15,Soja,281720842,731439903
nov/15,Soja,551133264,1442940426
out/15,Soja,989567116,2594061477
set/15,Soja,1429975247,3705390780
ago/15,Soja,2004886432,5161857082
jul/15,Soja,3224052598,8440388069
jun/15,Soja,3762210842,9810092292
mai/15,Soja,3612716728,9341009332
abr/15,Soja,2534258174,6550976888
mar/15,Soja,2211790279,5592087419
fev/15,Soja,346160419,868658891
jan/15,Soja,35102725,85335618
dez/14,Soja,73572924,138580630
nov/14,Soja,81601150,176556463
out/14,Soja,363993310,740838518
set/14,Soja,1347500294,2669832551
ago/14,Soja,2135354923,4119263327
jul/14,Soja,3151183394,6043522618
jun/14,Soja,3571995210,6893161834
mai/14,Soja,3866208695,7609782500
abr/14,Soja,4134746497,8250900628
mar/14,Soja,3147580092,6229304627
fev/14,Soja,1385831718,2789649517
jan/14,Soja,17809847,30606315
dez/13,Soja,23416589,41444366
nov/13,Soja,349309289,647862778
out/13,Soja,819712043,1503687439
set/13,Soja,1851415204,3469039242
ago/13,Soja,2894181791,5375800184
jul/13,Soja,3059711867,5658283460
jun/13,Soja,3437194975,6497603130
mai/13,Soja,4152649753,7951538971
abr/13,Soja,3797342586,7154619294
mar/13,Soja,1910515708,3536307549
fev/13,Soja,516592214,959633412
jan/13,Soja,257122,284016
dez/12,Soja,90022497,135027957
nov/12,Soja,166140844,258967125
out/12,Soja,573738630,906884061
set/12,Soja,1009436666,1681215994
ago/12,Soja,1426016258,2430615779
jul/12,Soja,2249733126,4129619684
jun/12,Soja,2591946308,4841213912
mai/12,Soja,3841228880,7275064364
abr/12,Soja,2261503830,4430830149
mar/12,Soja,2062711601,4236918758
fev/12,Soja,715515063,1568331088
jan/12,Soja,461791913,1011707981
dez/11,Soja,696235790,1469779422
nov/11,Soja,878197383,1758847238
out/11,Soja,739963658,1413186058
set/11,Soja,1458146614,2798346145
ago/11,Soja,1898957277,3681758781
jul/11,Soja,1841148599,3738040524
jun/11,Soja,2231998393,4553505146
mai/11,Soja,2558511249,5305717232
abr/11,Soja,2417293269,5089786243
mar/11,Soja,1383486048,2733616485
fev/11,Soja,111012045,224881082
jan/11,Soja,107134951,208095949
dez/10,Soja,145958502,292605816
nov/10,Soja,139526287,301253588
out/10,Soja,430532901,1013266827
set/10,Soja,824129024,2008563077
ago/10,Soja,1155819865,2966414860
jul/10,Soja,1495975867,3999165158
jun/10,Soja,1488413735,4039679961
mai/10,Soja,2089591498,5696187620
abr/10,Soja,1797294094,4913089458
mar/10,Soja,1164902411,3086118917
fev/10,Soja,265511705,663770956
jan/10,Soja,45344090,93039825
dez/09,Soja,99044463,203144890
nov/09,Soja,84128257,185808402
out/09,Soja,315674629,722695249
set/09,Soja,817739522,1830429968
ago/09,Soja,1306234492,2979620776
jul/09,Soja,1467994595,3347247694
jun/09,Soja,2576884548,6174379469
mai/09,Soja,1723759803,4679252417
abr/09,Soja,1541992716,4493192256
mar/09,Soja,973432461,2642917362
fev/09,Soja,264420003,689462091
jan/09,Soja,252959462,614533775
dez/08,Soja,332309772,750385331
nov/08,Soja,311204065,723592745
out/08,Soja,524600381,1061519150
set/08,Soja,900387877,1862074413
ago/08,Soja,1219805263,2358357215
jul/08,Soja,1901275553,3981781536
jun/08,Soja,1506029479,3544441524
mai/08,Soja,1860281570,4442112247
abr/08,Soja,1397622773,3346499944
mar/08,Soja,561759980,1403944693
fev/08,Soja,186175798,425132139
jan/08,Soja,250720594,599607207
dez/07,Soja,190488327,519084965
nov/07,Soja,267529163,788030352
out/07,Soja,664188525,2024834226
set/07,Soja,543682814,1816717965
ago/07,Soja,763424128,2673948181
jul/07,Soja,859556936,3093335404
jun/07,Soja,817432365,3074275644
mai/07,Soja,825729511,3152426426
abr/07,Soja,844895958,3165241394
mar/07,Soja,561777651,2054187593
fev/07,Soja,206561696,774834158
jan/07,Soja,138464515,528506937
dez/06,Soja,116676618,471107199
nov/06,Soja,235974241,998322963
out/06,Soja,379313988,1681692005
set/06,Soja,449124734,1993138783
ago/06,Soja,657746849,2901473419
jul/06,Soja,978044623,4376614144
jun/06,Soja,510385914,2288992125
mai/06,Soja,695941023,3170606679
abr/06,Soja,653130689,2915020907
mar/06,Soja,620410217,2654096632
fev/06,Soja,171610923,720499730
jan/06,Soja,178997738,716147470
dez/05,Soja,233947151,952837150
nov/05,Soja,340663805,1359158578
out/05,Soja,441201013,1792146305
set/05,Soja,543271447,2203801429
ago/05,Soja,686761605,2752432407
jul/05,Soja,660893436,2690613994
jun/05,Soja,695739146,2951573798
mai/05,Soja,527635325,2297422127
abr/05,Soja,613457998,2698128552
mar/05,Soja,400654369,1833265308
fev/05,Soja,90784746,413762800
jan/05,Soja,76755882,351945415
dez/04,Soja,97078959,400230462
nov/04,Soja,115603969,485045852
out/04,Soja,240321675,920481445
set/04,Soja,647732873,2291493611
ago/04,Soja,580532355,2002973711
jul/04,Soja,658979792,2314085166
jun/04,Soja,1045129879,3712593617
mai/04,Soja,738761974,2667730435
abr/04,Soja,568559445,2005544830
mar/04,Soja,453433518,1580961200
fev/04,Soja,127324531,453477609
jan/04,Soja,99169681,342799418
dez/03,Soja,86033383,335508804
nov/03,Soja,130503767,524312898
out/03,Soja,485045099,2115086914
set/03,Soja,469804539,2178802743
ago/03,Soja,539944618,2475310027
jul/03,Soja,407959512,1841400423
jun/03,Soja,528488368,2507261576
mai/03,Soja,689872764,3278170259
abr/03,Soja,589979729,2891576437
mar/03,Soja,267833468,1290963377
fev/03,Soja,40658869,189292987
jan/03,Soja,50676231,245773889
dez/02,Soja,121195326,558117090
nov/02,Soja,99035723,470706661
out/02,Soja,353345438,1684333491
set/02,Soja,768879297,3848423352
ago/02,Soja,336591884,1701208270
jul/02,Soja,475948036,2594472791
jun/02,Soja,217588612,1256748132
mai/02,Soja,217093531,1263756279
abr/02,Soja,288120366,1707065733
mar/02,Soja,111716438,651195810
fev/02,Soja,14276816,81840295
jan/02,Soja,26164097,142134115
dez/01,Soja,41651477,226552401
nov/01,Soja,36063289,193036187
out/01,Soja,156751356,827863306
set/01,Soja,280168399,1502652200
ago/01,Soja,445356745,2495838931
jul/01,Soja,337766313,1952556305
jun/01,Soja,435667608,2652623567
mai/01,Soja,416279892,2541335701
abr/01,Soja,336058402,1992261225
mar/01,Soja,161880205,902753591
fev/01,Soja,19676199,92302365
jan/01,Soja,58188005,295766257
dez/00,Soja,21316319,114011469
nov/00,Soja,62305085,328678928
out/00,Soja,113417053,597951630
set/00,Soja,149138414,791795386
ago/00,Soja,380247150,2010500747
jul/00,Soja,353263286,1851291357
jun/00,Soja,345376332,1791613782
mai/00,Soja,337395241,1769814548
abr/00,Soja,304337612,1605231947
mar/00,Soja,104267700,563365340
fev/00,Soja,11255384,59205827
jan/00,Soja,5507660,33611620
dez/99,Soja,20229134,114940860
nov/99,Soja,34266290,186162796
out/99,Soja,58889797,322837478
set/99,Soja,123867077,703024146
ago/99,Soja,133737112,774475498
jul/99,Soja,219899125,1252347954
jun/99,Soja,247936561,1422179649
mai/99,Soja,335185885,1860894337
abr/99,Soja,284783936,1568170612
mar/99,Soja,95905889,523877889
fev/99,Soja,28385880,142741740
jan/99,Soja,9115549,39262486
dez/98,Soja,13282433,62391820
nov/98,Soja,38660803,166280691
out/98,Soja,93218734,409859085
set/98,Soja,220252674,962469185
ago/98,Soja,201119257,881387828
jul/98,Soja,270324268,1160333462
jun/98,Soja,345529153,1468338152
mai/98,Soja,446609880,1894612707
abr/98,Soja,444498412,1859816767
mar/98,Soja,98925349,399346036
fev/98,Soja,5371772,21248400
jan/98,Soja,681933,1624160
dez/97,Soja,118429,264120
nov/97,Soja,1893282,4899180
out/97,Soja,32397210,105540943
set/97,Soja,104112390,348746010
ago/97,Soja,291057057,986597810
jul/97,Soja,494893812,1670251481
jun/97,Soja,395752981,1345808797
mai/97,Soja,504098587,1697312680
abr/97,Soja,462887400,1598886449
mar/97,Soja,156200973,550157554
fev/97,Soja,4896148,17095000
jan/97,Soja,4118740,14030000
